TwitterDataContent,MetaDataContent,RTStatus
TheJUNOAwards  CARAS What financial help is available to self employed musicians  performers  and supporting crew who are negatively affected by the cancellation of events over a certain size  not just the Junos   Covid 19  arts  canada,Thu Mar 12 15:56:40 ADT 2020,No
RT  bnaibrithcanada  Why is Helmut  Oberlander  an ex  Nazi war criminal is still in  Canada    What message does it send to the world abou,Thu Mar 12 15:56:10 ADT 2020,Yes
RT  Echinanews   Canada Prime Minister Justin  Trudeau is self isolating  His wife  Sophie Gregorie Trudeau  reportedly has flu like sympto,Thu Mar 12 15:56:07 ADT 2020,Yes
RT  DrTedros  Our great thanks to Prime Minister  JustinTrudeau and the people of  Canada    for their additional support of  50 million to,Thu Mar 12 15:56:07 ADT 2020,Yes
RT  hockeyguru111  Good thing you didn t take this more seriously eh  JustinTrudeau   Is the threat to  Canada still low  you f   ing idiot,Thu Mar 12 15:55:56 ADT 2020,Yes
RT  CTA gc   DYK If you are aware of a violation to the Canada Transportation Act or related regulations  or an  air fare advertisement doe,Thu Mar 12 15:55:52 ADT 2020,Yes
Sunset looks much better in reflection on new windows   Experience this yourself  book your quote with us today at s   t co zQyfQz85v3   ecolinewindows  windowinstallation  windowsreplacement  window  canada  warranty  installation  quote s   t co s0zPnOJm0y,Thu Mar 12 15:55:51 ADT 2020,No
sugardaddylegit sugarbaby I m looking for a sugar baby   I do not want sex or nudes  Text me on kik willihalter223 and rt get  500   sugar baby needed  sugar baby   Canada  USA   sugarmomma  sugar baby wanted dm  sugar daddy  S  sugardaddylegit,Thu Mar 12 15:55:50 ADT 2020,No
JustinTrudeau  BobRae48 There are immediate  Canadian  concerns   Those are your and our ONLY Responsibilities   YOU ARE THE  Canadian prime minister NOT THE  worlds    coronavirus  pandemic  oilwar   Alberta   canada,Thu Mar 12 15:55:14 ADT 2020,No
RT  china willams   sugarmomma Hi Are you broke RT follow and  Dm me to get  3 500 instantly  sugarmommyneeded   sugarbabyusa  sugardaddyle,Thu Mar 12 15:55:09 ADT 2020,Yes
Tightening access to counselling for military families a  knee jerk  reaction  says peacekeeper veterans association president   s   t co 32glOBYQ9I  military  Canada,Thu Mar 12 15:55:08 ADT 2020,No
RT  NicholasJohn83  Even if you don t think this  pandemic will directly impact your health  following the simple actions below will help c,Thu Mar 12 15:55:07 ADT 2020,Yes
Spoiler alert    The next country to be banned by President Trump will be  Canada  Hey  America pay attention   TrudeauWorstPM s   t co Vcm9MTosMJ,Thu Mar 12 15:54:55 ADT 2020,No
RT  SuzanneLeonard   Knew this would come in handy    Sunny earlier this week   back to cloudy again  If you need a mood boost check out my,Thu Mar 12 15:54:48 ADT 2020,Yes
CBCAlerts Business as usual here in  Canada  CanadianPM held up at home for fears his wife has  COVID19 and a few others but short of that go back to doing what you were doing folks  spend spend spend ensure you stimulate the economy,Thu Mar 12 15:54:47 ADT 2020,No
RT  EpochOpinion  Opinion by Brad Johnson   Canada has always been a peaceful country with a pretty laid back population   Now  however  Ca,Thu Mar 12 15:54:38 ADT 2020,Yes
Canada grapples with Trump s ban on travel from Europe amid border questions   s   t co ikm7A1eRUE Whats to  Grapple     Shutdown  Travel  CANADA  s   t co O5dFhRCGb1,Thu Mar 12 15:54:34 ADT 2020,No
RT  Skstormchaser  Anyone else get to catch tonight s full moon rising   What a bright crisp orange moon    sharecangeo  exploresask  canad,Thu Mar 12 15:54:29 ADT 2020,Yes
This Aged Quite Nicely      TrudeauWorstPM  Canada  CoronavirusPandemic  CoronaVirusCanada  CoronaVirusUpdate s   t co gIwiirAzuq,Thu Mar 12 15:54:26 ADT 2020,No
RT  0STXS  Live  NHLGWC Action  canada   New member on squad like 95 Lemieux   EASPORTSNHL  SanJoseSharks   s   t co 48ZxTVgFsQ   GetWe,Thu Mar 12 15:54:21 ADT 2020,Yes
Good old soap and water is the answer  And if water s not readily available consider gloves until it is  It s up to everyone to do their part to protect your community  both the immediate   the extended   CoronavirusPandemic  Canada s   t co iiqVJUVxd1,Thu Mar 12 15:54:17 ADT 2020,No
Oilers   It looks like we re gonna make it boys  The playoffs are in our sights     Covid19  Denied  No playoffs for you  I shut shit down worldwide        Oilers  NHL  hockey  canada  wtf  yeg  covid19  2020  edmonton,Thu Mar 12 15:54:12 ADT 2020,No
Pump it up  Canada  You could WIN free gas    s   t co 8RHidfE4Az s   t co OlniifcpxR,Thu Mar 12 15:54:00 ADT 2020,No
RT  mog7546  Justin Trudeau working from home as wife tested for COVID 19  They are now self isolating as she undergoes tests for the new,Thu Mar 12 15:53:59 ADT 2020,Yes
Hall of Fame recipient   Cricket  Toronto  Mississauga  Milton  Brampton  Canada s   t co RGIiirHx6t,Thu Mar 12 15:53:56 ADT 2020,No
RT  northender  I m showing  coronavirus symptoms  so on the basis of a phone call  Alberta health will send a technician TO MY HOME  to co,Thu Mar 12 15:53:46 ADT 2020,Yes
packed in a room to write exam  teacher doesn t even show up   only TAs present  Fucking ridiculous  mcgillu  mcgill  university  CODVID19  canada,Thu Mar 12 15:53:39 ADT 2020,No
RT  freetobeme ca  The  GoC is taking an important step toward ending conversion therapy a harmful and destructive practice that has no pla,Thu Mar 12 15:53:37 ADT 2020,Yes
RT  EvaKBartlett  It is regrettable  but unsurprising  that representatives of  Canada continue endorsing baseless war propaganda   whitewa,Thu Mar 12 15:53:32 ADT 2020,Yes
s guilbeault What financial help is available to self employed musicians  performers  and supporting crew who are negatively affected by the cancellation of events over a certain size   Covid 19  arts  canada,Thu Mar 12 15:53:26 ADT 2020,No
RT  acgerstein  Dear  Canada  can we be known as the country that overreacted to  COVID19  The one that shut it all down  before  we were i,Thu Mar 12 15:53:15 ADT 2020,Yes
RT  ABetterYouToda1   Canada  Covid19  The new patients are in regions across southern  Ontario  including Toronto  Peel  Waterloo and Musk,Thu Mar 12 15:53:08 ADT 2020,Yes
1935  The First Series   Happy Birthday  Canada first bank note    s   t co d6XmZIJTjp s   t co ypN6OTmyMi,Thu Mar 12 15:53:01 ADT 2020,No
RT  sparkyb1  Need centres set up only for handling  CoronavirusPandemic  Hospitals overcapacity already for a long time  What s the hospit,Thu Mar 12 15:53:00 ADT 2020,Yes
My God  Now the  JunosCancelled    Damn  Covid 19         JUNOS   Junos2020  Canada  Music  junoawards s   t co PXAvLTpujO,Thu Mar 12 15:52:51 ADT 2020,No
Agree  LauraTortella  Lunenburg is lovely as are so many areas in  novascotia  think outside Peggys Cove folks   travel  Canada s   t co ohwsYLqF7D,Thu Mar 12 15:52:12 ADT 2020,No
RT  Truthforall4       If you think  MkUltra is not real and that  CIA has not infiltrated  Canada then you should check this out  s,Thu Mar 12 15:51:59 ADT 2020,Yes
